epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5963,1.11036,8.45545,0.00855,0.00267,0.94118,0.53009,0.38662,0.70577,13.3876,0.00589,0.00052,0.00052,0.00052
2,48.9786,1.14149,6.97875,0.00885,0.85742,0.35386,0.83997,0.52847,1.16039,12.8597,0.01076,0.00102502,0.00102502,0.00102502
3,58.0421,1.20438,6.06371,0.00927,0.98071,0.41176,0.78945,0.38956,1.09024,11.4767,0.00978,0.0014944,0.0014944,0.0014944
4,68.7756,1.2103,5.03188,0.00948,0.90906,0.58803,0.74236,0.45103,0.98004,8.96662,0.00839,0.001802,0.001802,0.001802
5,79.0799,1.17729,3.8904,0.00884,0.92219,0.69773,0.86193,0.55453,1.3098,6.8376,0.0123,0.001736,0.001736,0.001736
6,87.7046,1.15615,3.23165,0.00911,0.82796,0.70588,0.76425,0.44497,1.36758,5.33007,0.01307,0.00167,0.00167,0.00167
7,98.5504,1.15182,2.72424,0.00893,0.7095,0.88235,0.85128,0.58633,1.28352,3.99725,0.01129,0.001604,0.001604,0.001604
8,109.238,1.08507,2.15809,0.0085,0.57455,0.95361,0.82446,0.5025,1.11858,3.38455,0.0094,0.001538,0.001538,0.001538
9,117.889,1.15649,2.00981,0.0091,0.81143,0.75965,0.82839,0.48637,1.56451,3.05226,0.01431,0.001472,0.001472,0.001472
10,128.622,1.0239,1.7309,0.00782,0.72715,0.9406,0.81461,0.51389,1.17526,2.34702,0.0103,0.001406,0.001406,0.001406
11,138.936,1.02126,1.50153,0.00756,0.87489,0.82353,0.9203,0.61572,1.13583,2.06642,0.00999,0.00134,0.00134,0.00134
12,147.828,0.96667,1.30849,0.00718,0.80514,0.94118,0.93913,0.61662,1.31453,1.99212,0.0119,0.001274,0.001274,0.001274
13,158.846,0.95776,1.19686,0.00707,0.87337,0.81199,0.89157,0.63734,1.06196,1.73665,0.00927,0.001208,0.001208,0.001208
14,169.658,0.91923,1.0922,0.00705,0.98114,0.76471,0.91373,0.69277,0.79797,1.50799,0.00671,0.001142,0.001142,0.001142
15,177.888,0.91713,1.04415,0.00684,0.88173,0.87739,0.85936,0.64532,0.93154,1.264,0.00791,0.001076,0.001076,0.001076
16,188.951,0.95925,0.96057,0.00734,0.84064,0.93137,0.92141,0.69952,0.99258,1.19659,0.00848,0.00101,0.00101,0.00101
17,200.019,0.88391,0.87076,0.00651,0.79963,0.93909,0.86243,0.63944,0.93877,1.26146,0.00825,0.000944,0.000944,0.000944
18,208.356,0.90738,0.8508,0.00674,0.93716,0.87753,0.94536,0.6874,0.97843,1.0708,0.00842,0.000878,0.000878,0.000878
19,218.984,0.8665,0.83826,0.00714,0.87761,0.94118,0.96167,0.62398,1.07405,0.9823,0.00933,0.000812,0.000812,0.000812
20,229.595,0.82794,0.81193,0.0061,0.83787,0.9128,0.9685,0.64302,1.03175,0.9984,0.00883,0.000746,0.000746,0.000746
21,240.859,0.83869,0.84398,0.00758,0.82432,0.82353,0.89847,0.6539,1.03198,0.87478,0.00893,0.00068,0.00068,0.00068
22,250.599,0.76283,0.75394,0.00679,0.97954,0.88235,0.93071,0.75164,0.88134,0.83705,0.00748,0.000614,0.000614,0.000614
23,261.06,0.7485,0.71603,0.00663,0.9169,0.82353,0.94042,0.67568,0.93424,0.85124,0.0079,0.000548,0.000548,0.000548
24,269.729,0.6999,0.63636,0.00606,0.97286,0.88235,0.97164,0.70761,0.89805,0.72776,0.00769,0.000482,0.000482,0.000482
25,279.752,0.68735,0.58398,0.00613,0.98627,0.88235,0.97529,0.68658,0.96351,0.70864,0.00826,0.000416,0.000416,0.000416
26,289.877,0.672,0.58597,0.00594,0.93067,0.88235,0.93083,0.73493,0.90193,0.7043,0.00776,0.00035,0.00035,0.00035
27,298.192,0.6634,0.55813,0.00592,0.98716,0.82353,0.94136,0.72779,0.96218,0.64005,0.00824,0.000284,0.000284,0.000284
28,308.294,0.68591,0.50582,0.00594,0.94388,0.98981,0.98889,0.71475,0.89544,0.58626,0.00766,0.000218,0.000218,0.000218
29,317.223,0.68152,0.58682,0.0061,0.92816,1,0.98556,0.76619,0.84103,0.5615,0.00723,0.000152,0.000152,0.000152
30,327.039,0.63904,0.50238,0.00578,0.94355,0.98392,0.98556,0.75849,0.84014,0.57701,0.00715,8.6e-05,8.6e-05,8.6e-05
