epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4497,1.21225,3.11129,1.39447,0.00267,0.9697,0.75304,0.5013,1.00502,3.98954,1.01663,0.00044,0.00044,0.00044
2,17.9197,1.20582,2.29735,1.23117,0.90448,0.57395,0.80483,0.49932,1.08027,4.01781,1.03495,0.00088218,0.00088218,0.00088218
3,26.6563,1.2167,2.03146,1.21325,0.54482,0.48485,0.56243,0.34006,1.22159,4.14438,1.25619,0.00130614,0.00130614,0.00130614
4,34.0543,1.11568,1.7423,1.18806,0.63085,0.48485,0.53503,0.347,1.34252,5.04129,1.26119,0.00171189,0.00171189,0.00171189
5,42.5271,1.10632,1.63573,1.14596,0.432,0.55327,0.52939,0.29416,1.60075,4.02134,1.60684,0.0018416,0.0018416,0.0018416
6,49.8276,1.11411,1.40447,1.15121,0.7345,0.67078,0.74288,0.53391,1.02923,2.77294,1.02629,0.001802,0.001802,0.001802
7,59.714,1.02397,1.28288,1.13098,0.69329,0.66667,0.75866,0.58679,0.96789,2.20947,1.1516,0.0017624,0.0017624,0.0017624
8,67.314,1.06699,1.19819,1.15983,1,0.7446,0.91776,0.62028,1.16278,1.98231,1.31687,0.0017228,0.0017228,0.0017228
9,81.4334,1.01931,1.13055,1.14841,0.66717,0.72727,0.76501,0.5442,0.92015,1.81023,1.1851,0.0016832,0.0016832,0.0016832
10,93.8045,1.03382,1.0598,1.14729,0.81076,0.90909,0.93092,0.64678,1.08033,1.45547,1.16852,0.0016436,0.0016436,0.0016436
11,102.766,0.97702,0.99479,1.07809,0.82857,0.78788,0.82777,0.60729,1.03457,1.87854,1.22439,0.001604,0.001604,0.001604
12,110.349,1.03272,1.01137,1.1278,0.8316,0.89803,0.94142,0.71101,0.98925,1.54422,1.23373,0.0015644,0.0015644,0.0015644
13,119.105,0.89714,0.92402,1.05283,0.8786,0.84848,0.88801,0.65338,0.96598,1.66634,1.22022,0.0015248,0.0015248,0.0015248
14,127.658,0.98783,0.9287,1.09977,0.93529,0.87607,0.91587,0.67225,1.072,1.39441,1.20045,0.0014852,0.0014852,0.0014852
15,137.392,0.93235,0.83894,1.08435,0.89531,0.90909,0.93858,0.71189,0.94359,1.50892,1.15637,0.0014456,0.0014456,0.0014456
16,145.35,0.93044,0.83319,1.0637,0.90926,0.93939,0.94324,0.71234,0.90643,1.28062,1.17697,0.001406,0.001406,0.001406
17,153.871,0.90104,0.78403,1.0717,0.91371,0.96278,0.94741,0.7271,0.8873,0.86508,1.18464,0.0013664,0.0013664,0.0013664
18,162.079,0.86776,0.78048,1.05847,0.95192,0.84848,0.86694,0.60648,1.12491,1.51503,1.2735,0.0013268,0.0013268,0.0013268
19,169.666,0.88319,0.77349,1.047,0.89787,0.81818,0.88847,0.64037,0.9869,1.27415,1.23303,0.0012872,0.0012872,0.0012872
20,179.675,0.91608,0.78718,1.08199,0.91157,0.9372,0.92746,0.69792,0.89284,1.05013,1.13865,0.0012476,0.0012476,0.0012476
21,187.649,0.84403,0.70094,1.0521,0.99437,0.87879,0.94045,0.72199,0.81406,0.87717,1.13773,0.001208,0.001208,0.001208
22,196.217,0.83071,0.70315,1.05506,0.88452,0.93939,0.94968,0.69329,0.96494,1.09133,1.22871,0.0011684,0.0011684,0.0011684
23,203.115,0.82969,0.68008,1.05014,0.99102,0.90909,0.938,0.72608,0.90583,0.86334,1.24179,0.0011288,0.0011288,0.0011288
24,211.47,0.83409,0.66163,1.03943,0.91298,0.9697,0.9605,0.73286,1.12481,0.95801,1.42673,0.0010892,0.0010892,0.0010892
25,218.579,0.79291,0.65068,1.03022,0.99808,0.84848,0.93481,0.66745,1.1542,1.02404,1.39613,0.0010496,0.0010496,0.0010496
26,227.306,0.72944,0.60302,0.98384,0.96079,0.93939,0.95011,0.72321,0.91457,0.93564,1.17373,0.00101,0.00101,0.00101
27,234.909,0.77125,0.60043,1.01988,0.96818,0.92212,0.96519,0.75182,0.79286,0.78989,1.13325,0.0009704,0.0009704,0.0009704
