epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4838,1.11077,2.64979,1.23739,0.00272,0.98,0.81409,0.58272,0.94204,3.86751,0.94463,0.000647059,0.000647059,0.000647059
2,27.3656,1.16234,2.07432,1.20647,0.89374,0.67297,0.82264,0.50565,1.21875,3.29705,1.23686,0.00128771,0.00128771,0.00128771
3,39.6797,1.18503,1.74975,1.22284,0.77622,0.58,0.68595,0.39943,1.22435,3.51075,1.2617,0.00190197,0.00190197,0.00190197
4,50.8309,1.18829,1.61702,1.23168,0.55904,0.68465,0.60803,0.4076,1.11863,4.43484,1.15508,0.0018812,0.0018812,0.0018812
5,62.5099,1.09821,1.34805,1.1708,0.16996,0.74,0.2969,0.20232,1.0509,19.0157,1.13285,0.0018416,0.0018416,0.0018416
6,74.9898,1.09381,1.25782,1.18393,0.58795,0.48,0.51119,0.34274,1.31488,3.36197,1.37289,0.001802,0.001802,0.001802
7,87.669,1.08366,1.15575,1.19239,0.84979,0.7,0.77716,0.55176,1.03831,1.86646,1.24306,0.0017624,0.0017624,0.0017624
8,98.6813,1.05701,1.05682,1.17,0.90888,0.82,0.89839,0.64209,1.07786,1.29141,1.26334,0.0017228,0.0017228,0.0017228
9,110.812,0.98654,0.9175,1.12405,0.83216,0.82,0.92271,0.66372,1.00473,1.28164,1.22369,0.0016832,0.0016832,0.0016832
10,125.255,1.00269,0.92105,1.14573,0.76789,0.86,0.86764,0.63449,0.96301,1.1484,1.18515,0.0016436,0.0016436,0.0016436
11,137.854,0.99877,0.86918,1.14862,0.7447,0.88,0.82776,0.58635,1.00517,1.69071,1.22032,0.001604,0.001604,0.001604
12,150.628,0.97365,0.86502,1.15432,0.85931,0.88,0.91163,0.66379,0.97774,1.04787,1.21223,0.0015644,0.0015644,0.0015644
13,163.569,0.90133,0.76687,1.09772,0.88593,0.88,0.92203,0.6692,0.95374,1.50933,1.18571,0.0015248,0.0015248,0.0015248
14,176.442,0.92196,0.74865,1.13108,0.91422,0.85274,0.9138,0.67462,0.9838,0.85951,1.25453,0.0014852,0.0014852,0.0014852
15,189.704,0.89987,0.76954,1.11479,0.92306,0.84,0.91337,0.63344,1.04611,0.90131,1.29419,0.0014456,0.0014456,0.0014456
16,201.297,0.86559,0.71498,1.07228,0.86207,0.9,0.92589,0.64899,1.01441,0.87696,1.23886,0.001406,0.001406,0.001406
17,213.843,0.89469,0.71761,1.10149,0.86068,0.86495,0.92881,0.67692,0.96991,0.90703,1.16383,0.0013664,0.0013664,0.0013664
18,226.811,0.84653,0.69585,1.07105,0.87785,0.86242,0.95629,0.72821,0.84457,0.92103,1.11372,0.0013268,0.0013268,0.0013268
19,239.659,0.85553,0.6665,1.06559,0.92734,0.92,0.97585,0.74686,0.88388,0.62023,1.15938,0.0012872,0.0012872,0.0012872
20,251.68,0.82933,0.68178,1.06189,0.95439,0.86,0.95328,0.74817,0.79323,0.8276,1.08541,0.0012476,0.0012476,0.0012476
21,263.638,0.83354,0.64966,1.04939,0.97819,0.89715,0.94952,0.72438,0.87448,0.69287,1.13455,0.001208,0.001208,0.001208
22,276.468,0.81002,0.61542,1.0624,0.9574,0.89896,0.9642,0.73922,0.78925,0.65324,1.10328,0.0011684,0.0011684,0.0011684
23,289.449,0.81343,0.58253,1.05807,1,0.8544,0.9648,0.75217,0.78533,0.59312,1.10349,0.0011288,0.0011288,0.0011288
24,302.21,0.84767,0.63049,1.08187,0.89435,0.96,0.97842,0.74035,0.81216,0.78877,1.10292,0.0010892,0.0010892,0.0010892
25,314.053,0.79952,0.61647,1.03818,0.96686,0.86,0.92953,0.66731,0.92425,0.68324,1.1863,0.0010496,0.0010496,0.0010496
26,324.966,0.7892,0.58705,1.04013,1,0.8726,0.94506,0.68952,0.89032,0.68675,1.12023,0.00101,0.00101,0.00101
27,337.933,0.81397,0.59038,1.04349,0.98636,0.9,0.9586,0.71283,0.86948,0.65229,1.09267,0.0009704,0.0009704,0.0009704
28,350.24,0.75508,0.57535,1.02006,0.96495,0.92,0.96205,0.7168,0.85565,0.6156,1.14711,0.0009308,0.0009308,0.0009308
29,362.63,0.8018,0.58498,1.03621,0.97772,0.87755,0.94713,0.71301,0.92761,0.63929,1.12921,0.0008912,0.0008912,0.0008912
30,374.103,0.77781,0.52995,1.03634,0.95726,0.8959,0.94243,0.71488,0.86798,0.62297,1.10385,0.0008516,0.0008516,0.0008516
31,386.565,0.76091,0.54259,1.02012,0.99729,0.84,0.92378,0.71858,0.81655,0.7144,1.09455,0.000812,0.000812,0.000812
