epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1029,1.06139,7.766,0.00906,0.00256,0.92,0.57074,0.43788,0.80005,14.1234,0.0074,0.000647059,0.000647059,0.000647059
2,57.6094,1.15978,6.43711,0.00991,0.87249,0.58,0.73383,0.504,1.12782,13.0308,0.01079,0.00127037,0.00127037,0.00127037
3,70.7324,1.11871,4.6416,0.00988,0.8546,0.70538,0.81688,0.56571,1.09659,9.98708,0.0106,0.00184969,0.00184969,0.00184969
4,84.4673,1.18229,3.87652,0.01016,0.81033,0.76,0.83891,0.5591,1.05188,6.78959,0.01019,0.001802,0.001802,0.001802
5,97.7696,1.12653,3.04966,0.00953,0.70368,0.66501,0.74989,0.5528,1.07567,5.06776,0.01036,0.001736,0.001736,0.001736
6,111.149,1.08407,2.43713,0.00905,0.7972,0.82,0.86191,0.55678,1.31703,3.75895,0.01229,0.00167,0.00167,0.00167
7,124.553,1.07121,2.09513,0.00905,0.79125,0.78,0.83882,0.58572,1.14386,3.00117,0.0108,0.001604,0.001604,0.001604
8,138.525,1.06775,1.72675,0.0091,0.87333,0.72,0.84565,0.61312,1.10494,2.46032,0.01041,0.001538,0.001538,0.001538
9,152.498,1.07492,1.42906,0.00898,0.86357,0.74,0.8296,0.57249,1.14337,2.22962,0.01134,0.001472,0.001472,0.001472
10,165.98,0.97229,1.27258,0.00822,0.86058,0.82,0.88807,0.63323,1.0158,1.73809,0.00952,0.001406,0.001406,0.001406
11,179.436,1.01402,1.12769,0.00868,0.82888,0.8,0.84522,0.62208,0.99853,1.7118,0.0091,0.00134,0.00134,0.00134
12,191.581,0.98515,1.1002,0.00849,0.85363,0.81655,0.8929,0.6674,0.99832,1.39461,0.00895,0.001274,0.001274,0.001274
13,205.052,0.94363,0.8993,0.00798,0.82431,0.76,0.85993,0.62394,0.96805,1.46204,0.0091,0.001208,0.001208,0.001208
14,218.81,0.90893,0.86624,0.00805,0.86758,0.82,0.91648,0.68978,0.97856,1.22381,0.00888,0.001142,0.001142,0.001142
15,232.821,0.88492,0.81006,0.00791,0.95053,0.7687,0.89971,0.6675,1.03277,1.14415,0.00933,0.001076,0.001076,0.001076
16,246.289,0.89199,0.73185,0.00746,0.92965,0.79298,0.91229,0.67641,0.9973,1.02647,0.00933,0.00101,0.00101,0.00101
17,259.263,0.83773,0.70952,0.00695,0.93129,0.84,0.91657,0.68327,0.9184,0.93129,0.00843,0.000944,0.000944,0.000944
18,272.622,0.82768,0.66461,0.0069,0.89239,0.9,0.92808,0.66754,0.93854,0.90343,0.00881,0.000878,0.000878,0.000878
19,285.927,0.8401,0.62863,0.007,0.90532,0.765,0.91024,0.67648,0.98233,0.92539,0.00896,0.000812,0.000812,0.000812
20,298.244,0.79395,0.64214,0.00671,0.89116,0.8188,0.92187,0.69535,0.91132,0.83702,0.00858,0.000746,0.000746,0.000746
21,314.715,0.75577,0.64779,0.00775,0.951,0.77638,0.93026,0.71447,0.98472,0.8186,0.00908,0.00068,0.00068,0.00068
22,325.989,0.73445,0.54808,0.0074,0.98881,0.8,0.94481,0.69906,0.9611,0.77056,0.00879,0.000614,0.000614,0.000614
23,339.082,0.6804,0.52523,0.00654,0.91523,0.86377,0.94851,0.72395,0.8877,0.66364,0.00807,0.000548,0.000548,0.000548
24,352.277,0.67914,0.51266,0.00704,0.99675,0.84,0.92662,0.71236,0.89275,0.6949,0.00817,0.000482,0.000482,0.000482
25,365.159,0.66599,0.48475,0.0064,0.89492,0.92,0.93747,0.71537,0.89612,0.72603,0.00822,0.000416,0.000416,0.000416
26,377.799,0.64554,0.43895,0.00636,0.88454,0.9193,0.93924,0.73001,0.85328,0.69399,0.00782,0.00035,0.00035,0.00035
27,391.271,0.64765,0.44606,0.00638,0.91401,0.9,0.93664,0.70502,0.93176,0.65296,0.00855,0.000284,0.000284,0.000284
28,403.192,0.65223,0.44142,0.00649,0.95737,0.89842,0.94412,0.72089,0.88819,0.64925,0.0081,0.000218,0.000218,0.000218
29,414.606,0.63652,0.41059,0.00618,0.93669,0.88782,0.9457,0.7315,0.87985,0.63146,0.00806,0.000152,0.000152,0.000152
30,428.072,0.62069,0.42938,0.00618,0.97669,0.83807,0.9396,0.72786,0.85777,0.641,0.00784,8.6e-05,8.6e-05,8.6e-05
